Joey1	>TcMar-Tc1:Joey1
Ko.L2.56	>L2:Ko.L2.56
Ko.L2.6	>L2:Ko.L2.6
Ko.L2.7	>L2:Ko.L2.7
Ko.L2.8	>L2:Ko.L2.8
Ko.L2.9	>L2:Ko.L2.9
Ko.LINE.1	>LINE:Ko.LINE.1
Ko.LINE.2	>LINE:Ko.LINE.2
Ko.LINE.3	>LINE:Ko.LINE.3
Ko.LTR.1	>LTR:Ko.LTR.1
Ko.LTR.4	>LTR:Ko.LTR.4
Ko.LTR.6	>LTR:Ko.LTR.6
Ko.RTEBovB.1	>RTEBovB:Ko.RTEBovB.1
Ko.RTEBovB.10	>RTEBovB:Ko.RTEBovB.10
Ko.RTEBovB.100	>RTEBovB:Ko.RTEBovB.100
Ko.RTEBovB.101	>RTEBovB:Ko.RTEBovB.101
Ko.RTEBovB.103	>RTEBovB:Ko.RTEBovB.103
Ko.RTEBovB.104	>RTEBovB:Ko.RTEBovB.104
Ko.RTEBovB.105	>RTEBovB:Ko.RTEBovB.105
Ko.RTEBovB.106	>RTEBovB:Ko.RTEBovB.106
Ko.RTEBovB.107	>RTEBovB:Ko.RTEBovB.107
Ko.RTEBovB.108	>RTEBovB:Ko.RTEBovB.108
Ko.RTEBovB.109	>RTEBovB:Ko.RTEBovB.109
Ko.RTEBovB.11	>RTEBovB:Ko.RTEBovB.11
Ko.RTEBovB.110	>RTEBovB:Ko.RTEBovB.110
Ko.RTEBovB.111	>RTEBovB:Ko.RTEBovB.111
Ko.RTEBovB.112	>RTEBovB:Ko.RTEBovB.112
Ko.RTEBovB.113	>RTEBovB:Ko.RTEBovB.113
Ko.RTEBovB.114	>RTEBovB:Ko.RTEBovB.114
Ko.RTEBovB.115	>RTEBovB:Ko.RTEBovB.115
Ko.RTEBovB.116	>RTEBovB:Ko.RTEBovB.116
Ko.RTEBovB.118	>RTEBovB:Ko.RTEBovB.118
Ko.RTEBovB.119	>RTEBovB:Ko.RTEBovB.119
Ko.RTEBovB.120	>RTEBovB:Ko.RTEBovB.120
Ko.RTEBovB.121	>RTEBovB:Ko.RTEBovB.121
Ko.RTEBovB.122	>RTEBovB:Ko.RTEBovB.122
Ko.RTEBovB.124	>RTEBovB:Ko.RTEBovB.124
Ko.RTEBovB.125	>RTEBovB:Ko.RTEBovB.125
Ko.RTEBovB.126	>RTEBovB:Ko.RTEBovB.126
Ko.RTEBovB.127	>RTEBovB:Ko.RTEBovB.127
Ko.RTEBovB.128	>RTEBovB:Ko.RTEBovB.128
Ko.RTEBovB.129	>RTEBovB:Ko.RTEBovB.129
Ko.RTEBovB.13	>RTEBovB:Ko.RTEBovB.13
Ko.RTEBovB.130	>RTEBovB:Ko.RTEBovB.130
Ko.RTEBovB.131	>RTEBovB:Ko.RTEBovB.131
Ko.RTEBovB.132	>RTEBovB:Ko.RTEBovB.132
Ko.RTEBovB.133	>RTEBovB:Ko.RTEBovB.133
Ko.RTEBovB.135	>RTEBovB:Ko.RTEBovB.135
Ko.RTEBovB.136	>RTEBovB:Ko.RTEBovB.136
Ko.RTEBovB.137	>RTEBovB:Ko.RTEBovB.137
Ko.RTEBovB.138	>RTEBovB:Ko.RTEBovB.138
Ko.RTEBovB.14	>RTEBovB:Ko.RTEBovB.14
Ko.RTEBovB.15	>RTEBovB:Ko.RTEBovB.15
Ko.RTEBovB.17	>RTEBovB:Ko.RTEBovB.17
Ko.RTEBovB.18	>RTEBovB:Ko.RTEBovB.18
Ko.RTEBovB.19	>RTEBovB:Ko.RTEBovB.19
Ko.RTEBovB.2	>RTEBovB:Ko.RTEBovB.2
Ko.RTEBovB.20	>RTEBovB:Ko.RTEBovB.20
Ko.RTEBovB.21	>RTEBovB:Ko.RTEBovB.21
Ko.RTEBovB.22	>RTEBovB:Ko.RTEBovB.22
Ko.RTEBovB.23	>RTEBovB:Ko.RTEBovB.23
Ko.RTEBovB.25	>RTEBovB:Ko.RTEBovB.25
Ko.RTEBovB.26	>RTEBovB:Ko.RTEBovB.26
Ko.RTEBovB.27	>RTEBovB:Ko.RTEBovB.27
Ko.RTEBovB.29	>RTEBovB:Ko.RTEBovB.29
Ko.RTEBovB.3	>RTEBovB:Ko.RTEBovB.3
Ko.RTEBovB.30	>RTEBovB:Ko.RTEBovB.30
Ko.RTEBovB.32	>RTEBovB:Ko.RTEBovB.32
Ko.RTEBovB.34	>RTEBovB:Ko.RTEBovB.34
Ko.RTEBovB.35	>RTEBovB:Ko.RTEBovB.35
Ko.RTEBovB.36	>RTEBovB:Ko.RTEBovB.36
Ko.RTEBovB.37	>RTEBovB:Ko.RTEBovB.37
Ko.RTEBovB.38	>RTEBovB:Ko.RTEBovB.38
Ko.RTEBovB.39	>RTEBovB:Ko.RTEBovB.39
Ko.RTEBovB.4	>RTEBovB:Ko.RTEBovB.4
Ko.RTEBovB.41	>RTEBovB:Ko.RTEBovB.41
Ko.RTEBovB.42	>RTEBovB:Ko.RTEBovB.42
Ko.RTEBovB.44	>RTEBovB:Ko.RTEBovB.44
Ko.RTEBovB.46	>RTEBovB:Ko.RTEBovB.46
Ko.RTEBovB.47	>RTEBovB:Ko.RTEBovB.47
Ko.RTEBovB.48	>RTEBovB:Ko.RTEBovB.48
Ko.RTEBovB.49	>RTEBovB:Ko.RTEBovB.49
Ko.RTEBovB.5	>RTEBovB:Ko.RTEBovB.5
Ko.RTEBovB.50	>RTEBovB:Ko.RTEBovB.50
Ko.RTEBovB.51	>RTEBovB:Ko.RTEBovB.51
Ko.RTEBovB.52	>RTEBovB:Ko.RTEBovB.52
Ko.RTEBovB.53	>RTEBovB:Ko.RTEBovB.53
Ko.RTEBovB.54	>RTEBovB:Ko.RTEBovB.54
Ko.RTEBovB.55	>RTEBovB:Ko.RTEBovB.55
Ko.RTEBovB.56	>RTEBovB:Ko.RTEBovB.56
Ko.RTEBovB.57	>RTEBovB:Ko.RTEBovB.57
Ko.RTEBovB.58	>RTEBovB:Ko.RTEBovB.58
Ko.RTEBovB.59	>RTEBovB:Ko.RTEBovB.59
Ko.RTEBovB.6	>RTEBovB:Ko.RTEBovB.6
Ko.RTEBovB.60	>RTEBovB:Ko.RTEBovB.60
Ko.RTEBovB.61	>RTEBovB:Ko.RTEBovB.61
Ko.RTEBovB.62	>RTEBovB:Ko.RTEBovB.62
Ko.RTEBovB.63	>RTEBovB:Ko.RTEBovB.63
Ko.RTEBovB.64	>RTEBovB:Ko.RTEBovB.64
Ko.RTEBovB.65	>RTEBovB:Ko.RTEBovB.65
Ko.RTEBovB.66	>RTEBovB:Ko.RTEBovB.66
Ko.RTEBovB.67	>RTEBovB:Ko.RTEBovB.67
Ko.RTEBovB.68	>RTEBovB:Ko.RTEBovB.68
Ko.RTEBovB.69	>RTEBovB:Ko.RTEBovB.69
Ko.RTEBovB.7	>RTEBovB:Ko.RTEBovB.7
Ko.RTEBovB.71	>RTEBovB:Ko.RTEBovB.71
Ko.RTEBovB.75	>RTEBovB:Ko.RTEBovB.75
Ko.RTEBovB.76	>RTEBovB:Ko.RTEBovB.76
Ko.RTEBovB.77	>RTEBovB:Ko.RTEBovB.77
Ko.RTEBovB.79	>RTEBovB:Ko.RTEBovB.79
Ko.RTEBovB.8	>RTEBovB:Ko.RTEBovB.8
Ko.RTEBovB.80	>RTEBovB:Ko.RTEBovB.80
Ko.RTEBovB.81	>RTEBovB:Ko.RTEBovB.81
Ko.RTEBovB.82	>RTEBovB:Ko.RTEBovB.82
Ko.RTEBovB.84	>RTEBovB:Ko.RTEBovB.84
Ko.RTEBovB.85	>RTEBovB:Ko.RTEBovB.85
Ko.RTEBovB.87	>RTEBovB:Ko.RTEBovB.87
Ko.RTEBovB.89	>RTEBovB:Ko.RTEBovB.89
Ko.RTEBovB.9	>RTEBovB:Ko.RTEBovB.9
Ko.RTEBovB.91	>RTEBovB:Ko.RTEBovB.91
Ko.RTEBovB.92	>RTEBovB:Ko.RTEBovB.92
Ko.RTEBovB.94	>RTEBovB:Ko.RTEBovB.94
Ko.RTEBovB.95	>RTEBovB:Ko.RTEBovB.95
Ko.RTEBovB.96	>RTEBovB:Ko.RTEBovB.96
Ko.RTEBovB.97	>RTEBovB:Ko.RTEBovB.97
Ko.RTEBovB.98	>RTEBovB:Ko.RTEBovB.98
Ko.RTEBovB.99	>RTEBovB:Ko.RTEBovB.99
Ko.TcMarTigger.1	>TcMarTigger:Ko.TcMarTigger.1
Ko.TcMarTigger.2	>TcMarTigger:Ko.TcMarTigger.2
Ko.TcMarTigger.3	>TcMarTigger:Ko.TcMarTigger.3
Ko.TcMarTigger.4	>TcMarTigger:Ko.TcMarTigger.4
Ko.tRNACoreL2.1	>tRNACoreL2:Ko.tRNACoreL2.1
Ko.tRNACoreL2.2	>tRNACoreL2:Ko.tRNACoreL2.2
Ko.tRNACoreL2.3	>tRNACoreL2:Ko.tRNACoreL2.3
Ko.tRNACoreL2.4	>tRNACoreL2:Ko.tRNACoreL2.4
Ko.tRNACoreL2.5	>tRNACoreL2:Ko.tRNACoreL2.5
KoRVA	>ERV1:KoRVA
L1_Mars1	>L1:L1_Mars1
L1_Mars1b	>L1:L1_Mars1b
MIR3	>tRNACoreL2:MIR3
PhER	>ERV1:PhER
RTE0_Mars	>RTERTE:RTE0_Mars
homoKoRV	>ERV1:homoKoRV
